zip,week,deaths_weekly,wave,population,alpha_vaxleveldec,alpha_recoveredleveldec,dec65plus
60614,16,1,1,71954,3.9,0.7528420935597744,0.9351808099619201
60614,17,0,1,71954,3.9,0.7528420935597744,0.9351808099619201
60614,18,0,1,71954,3.9,0.7528420935597744,0.9351808099619201
60614,19,0,1,71954,3.9,0.7528420935597744,0.9351808099619201
60614,20,0,1,71954,3.9,0.7528420935597744,0.9351808099619201
60614,21,0,1,71954,3.9,0.7528420935597744,0.9351808099619201
60614,22,0,1,71954,3.9,0.7528420935597744,0.9351808099619201
60614,23,1,1,71954,3.9,0.7528420935597744,0.9351808099619201
60614,24,0,1,71954,3.9,0.7528420935597744,0.9351808099619201
60614,25,1,1,71954,3.9,0.7528420935597744,0.9351808099619201
60614,26,0,1,71954,3.9,0.7528420935597744,0.9351808099619201
60615,0,1,0,40590,3.44,0.5060359694506036,1.5794530672579454
60615,1,1,0,40590,3.44,0.5060359694506036,1.5794530672579454
60615,2,1,0,40590,3.44,0.5060359694506036,1.5794530672579454
60615,3,5,0,40590,3.44,0.5060359694506036,1.5794530672579454
60615,4,0,0,40590,3.44,0.5060359694506036,1.5794530672579454
60615,5,0,0,40590,3.44,0.5060359694506036,1.5794530672579454
60615,6,1,0,40590,3.44,0.5060359694506036,1.5794530672579454
60615,7,1,0,40590,3.44,0.5060359694506036,1.5794530672579454
60615,8,1,0,40590,3.44,0.5060359694506036,1.5794530672579454
60615,9,1,0,40590,3.44,0.5060359694506036,1.5794530672579454
60615,10,1,0,40590,3.44,0.5060359694506036,1.5794530672579454
60615,11,0,0,40590,3.44,0.5060359694506036,1.5794530672579454
60615,12,0,0,40590,3.44,0.5060359694506036,1.5794530672579454
60615,13,0,0,40590,3.44,0.5060359694506036,1.5794530672579454
60615,14,1,0,40590,3.44,0.5060359694506036,1.5794530672579454
60615,15,0,0,40590,3.44,0.5060359694506036,1.5794530672579454
60615,16,0,1,40590,3.44,0.5060359694506036,1.5794530672579454
60615,17,0,1,40590,3.44,0.5060359694506036,1.5794530672579454
60615,18,0,1,40590,3.44,0.5060359694506036,1.5794530672579454
60615,19,0,1,40590,3.44,0.5060359694506036,1.5794530672579454
60615,20,3,1,40590,3.44,0.5060359694506036,1.5794530672579454
60615,21,0,1,40590,3.44,0.5060359694506036,1.5794530672579454
60615,22,1,1,40590,3.44,0.5060359694506036,1.5794530672579454
60615,23,0,1,40590,3.44,0.5060359694506036,1.5794530672579454
60615,24,0,1,40590,3.44,0.5060359694506036,1.5794530672579454
60615,25,0,1,40590,3.44,0.5060359694506036,1.5794530672579454
60615,26,0,1,40590,3.44,0.5060359694506036,1.5794530672579454
60616,0,2,0,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60616,1,7,0,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60616,2,7,0,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60616,3,7,0,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60616,4,4,0,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60616,5,2,0,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60616,6,2,0,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60616,7,1,0,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60616,8,0,0,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60616,9,1,0,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60616,10,0,0,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
