zip,week,deaths_weekly,wave,population,delta_vaxleveldec,delta_recoveredleveldec,dec65plus
60638,2,1,0,58669,5.35,1.362900339191055,1.4044895941638686
60638,3,3,0,58669,5.35,1.362900339191055,1.4044895941638686
60638,4,0,0,58669,5.35,1.362900339191055,1.4044895941638686
60638,5,0,0,58669,5.35,1.362900339191055,1.4044895941638686
60638,6,0,0,58669,5.35,1.362900339191055,1.4044895941638686
60638,7,0,0,58669,5.35,1.362900339191055,1.4044895941638686
60638,8,0,0,58669,5.35,1.362900339191055,1.4044895941638686
60638,9,1,0,58669,5.35,1.362900339191055,1.4044895941638686
60638,10,0,0,58669,5.35,1.362900339191055,1.4044895941638686
60638,11,0,0,58669,5.35,1.362900339191055,1.4044895941638686
60638,12,0,0,58669,5.35,1.362900339191055,1.4044895941638686
60638,13,1,1,58669,5.35,1.362900339191055,1.4044895941638686
60638,14,0,1,58669,5.35,1.362900339191055,1.4044895941638686
60638,15,0,1,58669,5.35,1.362900339191055,1.4044895941638686
60638,16,0,1,58669,5.35,1.362900339191055,1.4044895941638686
60638,17,1,1,58669,5.35,1.362900339191055,1.4044895941638686
60638,18,1,1,58669,5.35,1.362900339191055,1.4044895941638686
60638,19,2,1,58669,5.35,1.362900339191055,1.4044895941638686
60638,20,2,1,58669,5.35,1.362900339191055,1.4044895941638686
60638,21,3,1,58669,5.35,1.362900339191055,1.4044895941638686
60638,22,1,1,58669,5.35,1.362900339191055,1.4044895941638686
60638,23,3,1,58669,5.35,1.362900339191055,1.4044895941638686
60638,24,0,1,58669,5.35,1.362900339191055,1.4044895941638686
60638,25,1,1,58669,5.35,1.362900339191055,1.4044895941638686
60639,0,0,0,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60639,1,3,0,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60639,2,0,0,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60639,3,3,0,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60639,4,2,0,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60639,5,2,0,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60639,6,0,0,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60639,7,0,0,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60639,8,1,0,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60639,9,0,0,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60639,10,0,0,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60639,11,0,0,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60639,12,1,0,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60639,13,0,1,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60639,14,0,1,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60639,15,1,1,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60639,16,0,1,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60639,17,1,1,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60639,18,2,1,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60639,19,1,1,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60639,20,1,1,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60639,21,0,1,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60639,22,1,1,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60639,23,1,1,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60639,24,1,1,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60639,25,1,1,88204,6.0600000000000005,1.6568409595936693,0.9861230783184437
60640,0,1,0,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60640,1,0,0,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60640,2,1,0,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60640,3,0,0,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60640,4,0,0,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60640,5,0,0,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60640,6,0,0,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60640,7,0,0,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60640,8,0,0,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60640,9,0,0,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60640,10,0,0,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60640,11,2,0,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60640,12,0,0,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60640,13,0,1,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60640,14,0,1,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60640,15,0,1,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60640,16,0,1,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60640,17,0,1,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60640,18,0,1,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60640,19,1,1,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60640,20,0,1,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60640,21,1,1,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60640,22,0,1,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60640,23,1,1,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60640,24,1,1,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60640,25,2,1,69363,6.919999999999999,0.71479030607096,1.3435116704871473
60641,0,1,0,69880,6.25,1.3169719519175729,1.162135088723526
60641,1,0,0,69880,6.25,1.3169719519175729,1.162135088723526
60641,2,1,0,69880,6.25,1.3169719519175729,1.162135088723526
60641,3,1,0,69880,6.25,1.3169719519175729,1.162135088723526
60641,4,2,0,69880,6.25,1.3169719519175729,1.162135088723526
60641,5,0,0,69880,6.25,1.3169719519175729,1.162135088723526
60641,6,1,0,69880,6.25,1.3169719519175729,1.162135088723526
60641,7,0,0,69880,6.25,1.3169719519175729,1.162135088723526
60641,8,1,0,69880,6.25,1.3169719519175729,1.162135088723526
60641,9,0,0,69880,6.25,1.3169719519175729,1.162135088723526
60641,10,0,0,69880,6.25,1.3169719519175729,1.162135088723526
60641,11,0,0,69880,6.25,1.3169719519175729,1.162135088723526
60641,12,0,0,69880,6.25,1.3169719519175729,1.162135088723526
60641,13,0,1,69880,6.25,1.3169719519175729,1.162135088723526
60641,14,1,1,69880,6.25,1.3169719519175729,1.162135088723526
60641,15,0,1,69880,6.25,1.3169719519175729,1.162135088723526
60641,16,0,1,69880,6.25,1.3169719519175729,1.162135088723526
60641,17,3,1,69880,6.25,1.3169719519175729,1.162135088723526
60641,18,0,1,69880,6.25,1.3169719519175729,1.162135088723526
60641,19,1,1,69880,6.25,1.3169719519175729,1.162135088723526
60641,20,0,1,69880,6.25,1.3169719519175729,1.162135088723526
60641,21,2,1,69880,6.25,1.3169719519175729,1.162135088723526
60641,22,0,1,69880,6.25,1.3169719519175729,1.162135088723526
60641,23,0,1,69880,6.25,1.3169719519175729,1.162135088723526
